arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Falkenauel;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Falkenberg;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Falkenfels;Landkreis Straubing-Bogen;1.202,52;96.269,00;r
Falkenhagen (Mark);Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Falkenmühle;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Falkensee;Landkreis Havelland;1.644,35;154.033,00;r
Falkenstein;Landkreis Cham;1.528,50;126.237,00;r
Falkenstein/Vogtl.;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Fambach;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Farchant;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Farchau;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Farchauermühle;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Fargau-Pratjau;Kreis Plön;1.155,28;145.095,00;r
Farnstädt;Landkreis Saalekreis;1.549,73;199.557,00;r
Farschweiler;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Farsleben;Landkreis Börde;3.099,16;203.092,00;r
Farven;Landkreis Rotenburg (Wümme);2.148,82;172.747,00;r
Fasanerie;Landkreis Meißen;1.456,73;247.615,00;u
Faßberg;Landkreis Celle;1.550,27;177.082,00;r
Faulbach;Landkreis Miltenberg;748,95;132.364,00;u
Faulenrost;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Faulungen;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Faustenbach;Landkreis Bergstraße;807,17;275.654,00;u
Faustermühle;Kreisfreie Stadt Zweibrücken;70,70;34.235,00;u
Fedderingen;Kreis Dithmarschen;1.314,31;127.022,00;r
Feddersdeich;Kreis Nordfriesland;2.129,66;166.100,00;r
Fehl-Ritzhausen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Fehmarn;Kreis Ostholstein;1.325,41;188.322,00;r
Fehrbellin;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Feichten a.d.Alz;Landkreis Altötting;556,17;97.226,00;u
Feilbingert;Landkreis Bad Kreuznach;920,86;163.452,00;u
Feilitzsch;Landkreis Hof;885,37;99.647,00;r
Feilsdorf;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Feldafing;Landkreis Starnberg;465,68;120.683,00;u
Feldatal;Landkreis Vogelsbergkreis;1.457,74;108.737,00;r
Feldberg (Schwarzwald);Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Feldberger Seenlandschaft;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Felde;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Feldhorst;Kreis Stormarn;836,53;205.490,00;u
Feldhusen;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Feldkirchen;Landkreis Ebersberg;566,19;135.859,00;u
Feldkirchen-Westerham;Landkreis Rosenheim;1.518,28;244.687,00;u
Feldmühle;Landkreis Pfaffenhofen a.d. Ilm;773,79;117.865,00;u
Felixsee;Landkreis Spree-Neiße;1.662,10;123.136,00;r
Fell;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Fellbach;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Fellen;Landkreis Main-Spessart;1.325,96;125.841,00;r
Fellheim;Landkreis Unterallgäu;1.228,93;135.460,00;r
Felm;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Fels;Landkreis Hof;885,37;99.647,00;r
Felsberg;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Felsbergerhof;Landkreis Donnersbergkreis;705,66;80.477,00;r
Fensdorf;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Fensterbach;Landkreis Schwandorf;1.448,40;142.029,00;r
Ferbitz;Landkreis Prignitz;1.671,97;70.727,00;r
Ferchland;Landkreis Jerichower Land;2.021,83;103.142,00;r
Ferdinandshof;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Ferna;Landkreis Eichsfeld;942,96;102.407,00;r
Fernwald;Landkreis Gießen;854,00;251.404,00;u
Ferschweiler;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Feucht;Landkreis Nürnberger Land;750,56;164.114,00;u
Feuchtwangen;Landkreis Ansbach;1.970,53;178.778,00;r
Feuerscheid;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Feusdorf;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Fichtelberg;Landkreis Bayreuth;1.289,34;105.722,00;r
Fichtenau;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Fichtenberg;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Fichtenhöhe;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Fiefbergen;Kreis Plön;1.155,28;145.095,00;r
Fiersbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Filderstadt;Landkreis Esslingen;637,44;503.095,00;u
Filsen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Filsum;Landkreis Leer;1.066,74;164.663,00;u
Filz;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Fincken;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Finkenbach-Gersweiler;Landkreis Donnersbergkreis;705,66;80.477,00;r
Finkenberg;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Finkenhaus;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Finkenthal;Landkreis Rostock;3.367,72;219.050,00;r
Finne;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Finneland;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Finnentrop;Kreis Olpe;711,80;136.730,00;u
Finning;Landkreis Landsberg am Lech;768,72;111.807,00;r
Finningen;Landkreis Dillingen a.d. Donau;791,86;93.455,00;r
Finsing;Landkreis Erding;851,17;124.084,00;r
Finsterbrunnertal;Landkreis Kaiserslautern;537,10;92.400,00;u
Finsterwalde;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Fintel;Landkreis Rotenburg (Wümme);2.148,82;172.747,00;r
Firrel;Landkreis Leer;1.066,74;164.663,00;u
Fisch;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Fischach;Landkreis Augsburg;1.078,84;238.845,00;u
Fischbach;Landkreis Birkenfeld;825,16;87.116,00;r
Fischbach bei Dahn;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Fischbachau;Landkreis Miesbach;866,56;93.835,00;r
Fischbach-Oberraden;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Fischbachtal;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Fischen i. Allgäu;Landkreis Oberallgäu;1.526,94;149.046,00;r
Fischerbach;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Fischingen;Landkreis Lörrach;806,08;218.992,00;u
Fischweier;Landkreis Karlsruhe;1.083,67;424.211,00;u
Fißmühle;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Fitzbek;Kreis Steinburg;972,59;127.718,00;r
Fitzen;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Flachslanden;Landkreis Ansbach;1.970,53;178.778,00;r
Flacht;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Fladungen;Landkreis Rhön-Grabfeld;1.017,06;80.980,00;r
Flammersfeld;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Flarupholz;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Flechtingen;Landkreis Börde;3.099,16;203.092,00;r
Fleckeby;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Flecken Zechlin;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Flein;Landkreis Heilbronn;1.094,32;323.213,00;u
Fleischwangen;Landkreis Ravensburg;1.630,40;270.065,00;u
Flemlingen;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Flensburg;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Fleringen;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Flessau;Landkreis Stendal;2.679,48;119.034,00;r
Flieden;Landkreis Fulda;1.379,31;216.455,00;u
Fließem;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Flieth-Stegelitz;Landkreis Uckermark;2.914,27;122.383,00;r
Flintbek;Kreis Plön;1.155,28;145.095,00;r
Flintsbach a. Inn;Landkreis Rosenheim;1.518,28;244.687,00;u
Flöha;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Flohkraut;Landkreis Ostallgäu;1.393,01;133.904,00;r
Floh-Seligenthal;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Flomborn;Landkreis Alzey-Worms;591,37;125.821,00;u
Flonheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Flörsbachtal;Landkreis Main-Kinzig-Kreis;1.396,03;401.095,00;u
Flörsheim am Main;Landkreis Main-Taunus-Kreis;221,90;224.124,00;u
Flörsheim-Dalsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Florstadt;Landkreis Wetteraukreis;1.099,49;292.837,00;u
Floß;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Flossenbürg;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Flöthe;Landkreis Wolfenbüttel;718,18;120.810,00;u
Flughafen Leipzig/Halle;Landkreis Nordsachsen;2.030,82;201.758,00;r
Fluorn-Winzeln;Landkreis Rottweil;768,90;136.717,00;u
Flußbach;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Fluterschen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Fockbek;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Föckelberg;Landkreis Kusel;507,89;69.094,00;r
Fockendorf;Landkreis Altenburger Land;569,64;97.003,00;u
Föhrden-Barl;Kreis Steinburg;972,59;127.718,00;r
Föhren;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Fohren-Linden;Landkreis Birkenfeld;825,16;87.116,00;r
Forbach;Landkreis Rastatt;740,00;222.539,00;u
Forchheim;Landkreis Emmendingen;715,72;159.225,00;u
Forchtenberg;Landkreis Hohenlohekreis;775,90;107.497,00;r
Forheim;Landkreis Donau-Ries;1.273,90;128.113,00;r
Föritztal;Landkreis Sonneberg;490,76;63.037,00;r
Forst;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Forst (Eifel);Landkreis Cochem-Zell;642,48;58.868,00;r
Forst (Hunsrück);Landkreis Cochem-Zell;642,48;58.868,00;r
Forst an der Weinstraße;Landkreis Bad Dürkheim;661,13;147.311,00;u
Forstern;Landkreis Erding;851,17;124.084,00;r
Forsthaus Heide;Landkreis Bergstraße;807,17;275.654,00;u
Forsthaus Ivendorf;Landkreis Rostock;3.367,72;219.050,00;r
Forstinning;Landkreis Ebersberg;566,19;135.859,00;u
Forstmehren;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Framersheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Frammersbach;Landkreis Main-Spessart;1.325,96;125.841,00;r
Frankelbach;Landkreis Kaiserslautern;537,10;92.400,00;u
Frankenau;Landkreis Waldeck-Frankenberg;1.908,06;163.742,00;r
Frankenberg;Landkreis Waldeck-Frankenberg;1.908,06;163.742,00;r
Frankenberg/Sa.;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Frankenblick;Landkreis Sonneberg;490,76;63.037,00;r
Frankendorf;Landkreis Weimarer Land;813,31;87.083,00;r
Frankeneck;Landkreis Bad Dürkheim;661,13;147.311,00;u
Frankenfeld;Landkreis Heidekreis;1.624,73;118.316,00;r
Frankenhardt;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Frankenheim;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Frankenroda;Landkreis Wartburgkreis;1.360,71;131.802,00;r
Frankenstein;Landkreis Bad Dürkheim;661,13;147.311,00;u
Frankenthal;Landkreis Bautzen;2.402,14;316.006,00;r
Frankenthal (Pfalz);Kreisfreie Stadt Frankenthal (Pfalz);43,88;46.574,00;u
Frankenwinheim;Landkreis Schweinfurt;832,66;113.230,00;r
Frankfurt (Oder);Kreisfreie Stadt Frankfurt (Oder);210,27;61.495,00;u
Frankfurt am Main;Kreisfreie Stadt Frankfurt am Main;248,41;668.287,00;u
Fränkisch-Crumbach;Landkreis Odenwaldkreis;623,44;96.763,00;u
Frankleben;Landkreis Saalekreis;1.549,73;199.557,00;r
Frankweiler;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Franzburg;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Franzenheim;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Franzenmühle;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Frasdorf;Landkreis Rosenheim;1.518,28;244.687,00;u
Fraßdorf;Landkreis Anhalt-Bitterfeld;1.029,81;163.437,00;u
Frauenau;Landkreis Regen;976,16;77.066,00;r
Frauenberg;Landkreis Birkenfeld;825,16;87.116,00;r
Frauenchiemsee;Landkreis Rosenheim;1.518,28;244.687,00;u
Frauendorf;Landkreis Oberspreewald-Lausitz;1.225,79;118.277,00;r
Frauenholz;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Frauenneuharting;Landkreis Ebersberg;566,19;135.859,00;u
Frauenprießnitz;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Frauenstein;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Fraulund;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Fraunberg;Landkreis Erding;851,17;124.084,00;r
Fraureuth;Landkreis Zwickau;950,52;335.773,00;u
Frauwalde;Landkreis Oberspreewald-Lausitz;1.225,79;118.277,00;r
Frechen;Kreis Rhein-Erft-Kreis;704,69;451.704,00;u
Freckenfeld;Landkreis Germersheim;450,37;121.357,00;u
Fredeburg;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Freden (Leine);Landkreis Hildesheim;1.207,70;277.924,00;u
Fredenbeck;Landkreis Stade;1.215,40;196.018,00;u
Fredersdorf-Vogelsdorf;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Fredesdorf;Kreis Segeberg;1.443,50;269.392,00;u
Freiamt;Landkreis Emmendingen;715,72;159.225,00;u
Freiberg;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Freiberg am Neckar;Landkreis Ludwigsburg;690,72;510.260,00;u
Freiburg (Elbe);Landkreis Stade;1.215,40;196.018,00;u
Freiburg im Breisgau;Stadtkreis Freiburg im Breisgau;154,46;209.701,00;u
Freienbessingen;Landkreis Kyffhäuserkreis;1.037,58;80.236,00;r
Freienhagen;Landkreis Eichsfeld;942,96;102.407,00;r
Freienorla;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Freiensteinau;Landkreis Vogelsbergkreis;1.457,74;108.737,00;r
Freienwill;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Freigericht;Landkreis Main-Kinzig-Kreis;1.396,03;401.095,00;u
Freihung;Landkreis Amberg-Sulzbach;1.255,95;104.104,00;r
Freilassing;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Frei-Laubersheim;Landkreis Bad Kreuznach;920,86;163.452,00;u
Freilingen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Freimersheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Freimersheim (Pfalz);Landkreis Südliche Weinstraße;667,05;109.962,00;u
Freinsheim;Landkreis Bad Dürkheim;661,13;147.311,00;u
Freirachdorf;Landkreis Westerwaldkreis;896,44;189.443,00;u
Freisbach;Landkreis Germersheim;450,37;121.357,00;u
Freisen;Landkreis St. Wendel;476,60;90.271,00;u
Freising;Landkreis Freising;796,78;161.475,00;u
Freistatt;Landkreis Diepholz;1.989,36;212.437,00;r
Freital;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Frellstedt;Landkreis Helmstedt;681,68;91.558,00;r
Fremdingen;Landkreis Donau-Ries;1.273,90;128.113,00;r
Frensdorf;Landkreis Bamberg;1.167,23;143.775,00;r
Freren;Landkreis Emsland;2.882,18;312.236,00;r
Fresenboje;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Fresenburg;Landkreis Emsland;2.882,18;312.236,00;r
Fresendelf;Kreis Nordfriesland;2.129,66;166.100,00;r
Frestedt;Kreis Dithmarschen;1.314,31;127.022,00;r
Frettenheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Fretterode;Landkreis Eichsfeld;942,96;102.407,00;r
Freudenberg;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Freudenburg;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Freudenheim;Landkreis Passau;1.532,86;184.986,00;r
Freudenstadt;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Freudental;Landkreis Ludwigsburg;690,72;510.260,00;u
Freyburg (Unstrut);Landkreis Saalekreis;1.549,73;199.557,00;r
Freystadt;Landkreis Neumarkt i.d. OPf.;1.343,97;126.715,00;r
Freyung;Landkreis Freyung-Grafenau;985,64;78.573,00;r
Frickenhausen;Landkreis Esslingen;637,44;503.095,00;u
Frickenhausen a. Main;Landkreis Würzburg;967,41;158.217,00;u
Frickingen;Landkreis Bodenseekreis;664,29;204.163,00;u
Fridingen an der Donau;Landkreis Tuttlingen;715,74;131.707,00;u
Fridolfing;Landkreis Traunstein;1.457,39;168.951,00;r
Friedberg;Landkreis Aichach-Friedberg;779,72;126.556,00;u
Friedberg (Hessen);Landkreis Wetteraukreis;1.099,49;292.837,00;u
Friedbüsch;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Friedeburg;Landkreis Wittmund;661,98;57.286,00;r
Friedelshausen;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Friedelsheim;Landkreis Bad Dürkheim;661,13;147.311,00;u
Friedenfels;Landkreis Tirschenreuth;1.084,69;75.058,00;r
Friedensau;Landkreis Jerichower Land;2.021,83;103.142,00;r
Friedenthal;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Friedenweiler;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Friedersdorf;Landkreis Görlitz;2.117,33;270.663,00;r
Friedewald;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Friedland;Landkreis Göttingen;1.676,76;317.156,00;u
Friedrichroda;Landkreis Gotha;951,39;137.259,00;r
Friedrichsaue;Landkreis Salzlandkreis;1.433,92;205.785,00;r
Friedrichsdorf;Landkreis Anhalt-Bitterfeld;1.029,81;163.437,00;u
Friedrichsgabekoog;Kreis Dithmarschen;1.314,31;127.022,00;r
Friedrichsgraben;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Friedrichshafen;Landkreis Bodenseekreis;664,29;204.163,00;u
Friedrichshof;Landkreis Bayreuth;1.289,34;105.722,00;r
Friedrichsholm;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Friedrichskoog;Kreis Dithmarschen;1.314,31;127.022,00;r
Friedrichsruh;Kreis Stormarn;836,53;205.490,00;u
Friedrichsruhe;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Friedrichstadt;Kreis Nordfriesland;2.129,66;166.100,00;r
Friedrichsthal;Landkreis Regionalverband Saarbrücken;410,95;327.025,00;u
Friedrichswalde;Landkreis Barnim;1.480,50;172.581,00;r
Friedrich-Wilhelm-Lübke-Koog;Kreis Nordfriesland;2.129,66;166.100,00;r
Frielendorf;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Friemar;Landkreis Gotha;951,39;137.259,00;r
Friesack;Landkreis Havelland;1.644,35;154.033,00;r
Friesenhagen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Friesenheim;Landkreis Mainz-Bingen;571,11;193.441,00;u
Friesenried;Landkreis Ostallgäu;1.393,01;133.904,00;r
Friesoythe;Landkreis Cloppenburg;1.419,64;160.115,00;r
Frimberg;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Friolzheim;Landkreis Enzkreis;573,07;191.389,00;u
Frittlingen;Landkreis Tuttlingen;715,74;131.707,00;u
Fritzlar;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Frohburg;Landkreis Leipzig;1.651,85;262.784,00;u
Fröhnd;Landkreis Lörrach;806,08;218.992,00;u
Frohnhofen;Landkreis Kusel;507,89;69.094,00;r
Frohnloh;Landkreis Starnberg;465,68;120.683,00;u
Frömmstedt;Landkreis Sömmerda;807,41;71.972,00;r
Fröndenberg/Ruhr;Kreis Unna;542,78;396.276,00;u
Fronderode;Landkreis Nordhausen;712,69;87.366,00;r
Fronhausen;Landkreis Marburg-Biedenkopf;1.261,10;241.518,00;u
Fronhofen;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Fronreute;Landkreis Ravensburg;1.630,40;270.065,00;u
Frontenhausen;Landkreis Dingolfing-Landau;878,58;90.409,00;r
Frose;Landkreis Salzlandkreis;1.433,92;205.785,00;r
Fröttstädt;Landkreis Gotha;951,39;137.259,00;r
Frücht;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Fuchshain;Landkreis Leipzig;1.651,85;262.784,00;u
Fuchshäusle;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Fuchshof;Landkreis Bayreuth;1.289,34;105.722,00;r
Fuchshofen;Landkreis Ahrweiler;816,76;129.806,00;u
Fuchsmühl;Landkreis Tirschenreuth;1.084,69;75.058,00;r
Fuchsmühle;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Fuchsstadt;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Fuchssteig;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Fuchstal;Landkreis Landsberg am Lech;768,72;111.807,00;r
Fuhlendorf;Kreis Segeberg;1.443,50;269.392,00;u
Fuhlenhagen;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Fulda;Landkreis Fulda;1.379,31;216.455,00;u
Fuldabrück;Landkreis Kassel;1.290,55;235.145,00;u
Fuldatal;Landkreis Kassel;1.290,55;235.145,00;u
Fünfmühlen;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Fünfseen;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Fünfstetten;Landkreis Donau-Ries;1.273,90;128.113,00;r
Fürfeld;Landkreis Bad Kreuznach;920,86;163.452,00;u
Fürstenau;Landkreis Osnabrück;2.118,81;351.437,00;u
Fürstenberg;Landkreis Holzminden;693,50;73.651,00;r
Fürstenberg/Havel;Landkreis Oberhavel;1.810,74;201.581,00;r
Fürsteneck;Landkreis Freyung-Grafenau;985,64;78.573,00;r
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;434,67;201.631,00;u
Fürstenstein;Landkreis Passau;1.532,86;184.986,00;r
Fürstental;Landkreis Waldeck-Frankenberg;1.908,06;163.742,00;r
Fürstenwalde;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Fürstenwalde/Spree;Landkreis Oder-Spree;2.211,53;176.547,00;r
Fürstenzell;Landkreis Passau;1.532,86;184.986,00;r
Furth;Landkreis Landshut;1.348,42;162.933,00;r
Fürth;Kreisfreie Stadt Fürth;63,39;115.525,00;u
Furth im Wald;Landkreis Cham;1.528,50;126.237,00;r
Fürthen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Furtwangen im Schwarzwald;Landkreis Schwarzwald-Baar-Kreis;1.024,55;204.281,00;u
Füssen;Landkreis Ostallgäu;1.393,01;133.904,00;r
Fußgönheim;Landkreis Rhein-Pfalz-Kreis;305,83;146.892,00;u
Gaarz;Landkreis Prignitz;1.671,97;70.727,00;r
Gabermühle;Landkreis Forchheim;642,65;112.919,00;u
Gablenz;Landkreis Görlitz;2.117,33;270.663,00;r
Gablenz-Kromlau;Landkreis Görlitz;2.117,33;270.663,00;r
Gablingen;Landkreis Augsburg;1.078,84;238.845,00;u
Gabsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Gachenbach;Landkreis Neuburg-Schrobenhausen;739,37;90.764,00;r
Gackenbach;Landkreis Westerwaldkreis;896,44;189.443,00;u
Gadebusch;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Gädheim;Landkreis Haßberge;964,29;84.705,00;r
Gägelow;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Gaggenau;Landkreis Rastatt;740,00;222.539,00;u
Gahro;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Gaiberg;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Gaienhofen;Landkreis Konstanz;817,23;267.010,00;u
Gaildorf;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Gailingen am Hochrhein;Landkreis Konstanz;817,23;267.010,00;u
Gaimersheim;Landkreis Eichstätt;1.211,14;123.581,00;r
Gaisberg;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Gaißach;Landkreis Bad Tölz-Wolfratshausen;1.129,24;119.328,00;r
Galenbeck;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Galenberg;Landkreis Ahrweiler;816,76;129.806,00;u
Gallin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Gallin-Kuppentin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Gallmersgarten;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Galmsbüll;Kreis Nordfriesland;2.129,66;166.100,00;r
Gamlen;Landkreis Cochem-Zell;642,48;58.868,00;r
Gammelby;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Gammelin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Gammelsdorf;Landkreis Freising;796,78;161.475,00;u
Gammelshausen;Landkreis Göppingen;635,74;247.363,00;u
Gammertingen;Landkreis Sigmaringen;1.124,48;111.447,00;r
Gamstädt;Landkreis Gotha;951,39;137.259,00;r
Ganderkesee;Landkreis Oldenburg;1.063,80;125.754,00;r
Gandesbergen;Landkreis Nienburg (Weser);1.399,84;122.881,00;r
Gangelt;Kreis Heinsberg;628,03;248.504,00;u
Gangkofen;Landkreis Rottal-Inn;1.282,57;117.440,00;r
Gangloffsömmern;Landkreis Sömmerda;807,41;71.972,00;r
Gänsberg;Landkreis Traunstein;1.457,39;168.951,00;r
Gantenbeck;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Ganzer;Landkreis Havelland;1.644,35;154.033,00;r
Ganzlin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Gappenach;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Garbsen;Landkreis Region Hannover;2.295,00;1.102.881,00;u
Garching a.d.Alz;Landkreis Altötting;556,17;97.226,00;u
Garching b. München;Landkreis München;670,63;317.883,00;u
Gardelegen;Landkreis Altmarkkreis Salzwedel;1.911,39;76.209,00;r
